"","POP_ID","SPP","SYS_NM","faz_acro","maz_acro","CU_name","CU_findex","Area","IsIndicator","year","escapement"
"164",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1971,300
"165",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1972,700
"166",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1973,600
"167",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1974,750
"168",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1975,200
"169",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1976,400
"170",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1977,200
"171",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1978,250
"172",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1979,200
"173",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1980,120
"174",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1981,400
"175",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1982,200
"176",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1983,150
"177",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1984,250
"178",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1985,100
"179",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1986,253
"180",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1987,200
"181",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1988,170
"182",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1989,80
"183",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1990,125
